1ARB	ENSP00000311221_233-283	30	0.0	0.0	0.0	0.0	0.03	0.07	0.11	0.18	0.23	0.3	0.42	0.51	0.59	0.66	0.71	0.74	0.77	0.8	0.81	0.81	0.81	269	51
1ARB	ENSP00000311221_56-107	23	0.0	0.0	0.0	0.0	0.0	0.02	0.08	0.15	0.23	0.31	0.37	0.45	0.53	0.65	0.75	0.78	0.79	0.81	0.81	0.81	0.81	269	52
1ARB	ENSP00000311221_233-283	32	0.0	0.0	0.0	0.0	0.0	0.01	0.08	0.15	0.2	0.28	0.38	0.49	0.61	0.69	0.75	0.79	0.8	0.81	0.81	0.81	0.81	269	51
1ARB	ENSP00000429173_25-76	4	0.0	0.0	0.0	0.0	0.01	0.01	0.05	0.12	0.22	0.32	0.41	0.5	0.62	0.7	0.74	0.77	0.8	0.81	0.81	0.81	0.81	269	52
1ARB	ENSP00000429173_25-76	13	0.0	0.0	0.0	0.0	0.01	0.06	0.11	0.16	0.25	0.34	0.4	0.49	0.57	0.61	0.68	0.73	0.77	0.79	0.81	0.81	0.81	269	52
1ARB	ENSP00000359645_170-220	7	0.0	0.0	0.0	0.0	0.0	0.01	0.06	0.11	0.22	0.35	0.43	0.56	0.61	0.67	0.73	0.77	0.8	0.81	0.81	0.81	0.81	269	51
1ARB	ENSP00000357215_8-58	13	0.0	0.0	0.0	0.01	0.02	0.04	0.09	0.18	0.25	0.3	0.35	0.44	0.54	0.66	0.72	0.76	0.78	0.8	0.81	0.81	0.81	269	51
1ARB	ENSP00000429173_25-76	29	0.0	0.0	0.0	0.0	0.0	0.02	0.06	0.12	0.17	0.32	0.41	0.47	0.59	0.67	0.74	0.78	0.79	0.8	0.81	0.81	0.81	269	52
1ARB	ENSP00000337926_586-638	9	0.0	0.0	0.0	0.0	0.0	0.03	0.07	0.14	0.22	0.32	0.41	0.51	0.64	0.69	0.72	0.76	0.78	0.79	0.8	0.8	0.8	269	53
1ARB	ENSP00000375863_3-54	28	0.0	0.0	0.0	0.0	0.02	0.03	0.05	0.1	0.19	0.29	0.4	0.5	0.59	0.67	0.74	0.75	0.79	0.81	0.81	0.81	0.81	269	51
1ARB	ENSP00000354085_1701-1752	4	0.0	0.0	0.0	0.0	0.02	0.03	0.06	0.11	0.19	0.26	0.34	0.46	0.57	0.68	0.76	0.79	0.8	0.8	0.81	0.81	0.81	269	52
1ARB	ENSP00000429173_25-76	11	0.0	0.0	0.0	0.0	0.01	0.04	0.08	0.13	0.22	0.32	0.39	0.45	0.57	0.65	0.67	0.72	0.75	0.8	0.81	0.81	0.81	269	52
1ARB	ENSP00000375863_3-54	1	0.0	0.0	0.0	0.0	0.01	0.02	0.05	0.12	0.19	0.29	0.41	0.49	0.59	0.67	0.76	0.79	0.81	0.81	0.81	0.81	0.81	269	51
1ARB	ENSP00000311221_56-107	3	0.0	0.0	0.0	0.0	0.0	0.01	0.03	0.1	0.17	0.27	0.41	0.53	0.64	0.7	0.75	0.77	0.78	0.81	0.81	0.81	0.81	269	52
1ARB	ENSP00000325376_30-81	9	0.0	0.0	0.0	0.0	0.01	0.04	0.14	0.2	0.27	0.34	0.41	0.5	0.57	0.65	0.69	0.72	0.76	0.8	0.81	0.81	0.81	269	52
1ARB	ENSP00000375863_3-54	20	0.0	0.0	0.01	0.02	0.04	0.09	0.12	0.18	0.24	0.32	0.4	0.46	0.52	0.6	0.71	0.77	0.81	0.81	0.81	0.81	0.81	269	51
1ARB	ENSP00000429173_25-76	15	0.0	0.0	0.0	0.0	0.01	0.03	0.09	0.14	0.23	0.32	0.38	0.45	0.55	0.62	0.65	0.72	0.78	0.81	0.81	0.81	0.81	269	52
1ARB	ENSP00000319104_1226-1282	10	0.0	0.0	0.0	0.0	0.01	0.08	0.14	0.22	0.29	0.35	0.38	0.41	0.49	0.58	0.64	0.72	0.78	0.79	0.79	0.79	0.79	269	57
1ARB	ENSP00000429173_25-76	20	0.0	0.0	0.0	0.0	0.01	0.03	0.06	0.13	0.22	0.33	0.4	0.51	0.58	0.64	0.68	0.73	0.77	0.8	0.81	0.81	0.81	269	52
1ARB	ENSP00000325376_30-81	28	0.0	0.0	0.0	0.0	0.0	0.01	0.06	0.13	0.23	0.32	0.42	0.54	0.64	0.71	0.76	0.77	0.79	0.81	0.81	0.81	0.81	269	52
1ARB	ENSP00000380414_141-191	8	0.0	0.0	0.0	0.01	0.03	0.06	0.09	0.13	0.19	0.32	0.45	0.54	0.63	0.68	0.74	0.78	0.8	0.81	0.81	0.81	0.81	269	51
